career_entropy_percentile,career_average_yoy_delta_gsax_per_xg
32.305195,-0.134731
33.035714,-0.071856
38.149351,0.757485
40.584416,0.059880
41.396104,-0.979042
42.451299,0.883234
44.318182,0.449102
45.616883,0.913174
46.022727,0.491018
47.077922,-0.185629
47.240260,0.356287
48.782468,-0.817365
49.756494,-0.649701
50.405844,-0.583832
51.217532,0.580838
51.785714,-0.125749
52.516234,-0.287425
53.084416,0.754491
53.896104,0.269461
54.301948,0.464072
54.707792,-0.826347
55.925325,0.946108
58.035714,-0.149701
58.603896,0.580838
61.444805,0.589820
61.444805,-0.443114
62.094156,-0.502994
65.990260,-0.736527
