entropy_percentile,season_gsax_per_xg
8.957655,0.168817
9.446254,0.092473
11.726384,-0.061290
11.807818,0.192473
13.599349,-0.020430
13.680782,0.125806
13.762215,-0.269892
14.332248,-0.136559
14.983713,0.031183
15.553746,-0.059140
16.286645,0.219355
16.693811,0.079570
16.856678,-0.090323
17.752443,0.108602
18.078176,-0.068817
18.811075,0.039785
18.892508,0.176344
19.299674,0.083871
19.462541,-0.109677
19.462541,0.152688
19.625407,-0.196774
19.951140,-0.240860
20.114007,0.019355
20.358306,0.204301
20.846906,0.088172
21.579805,-0.006452
21.661238,0.144086
21.742671,0.024731
22.068404,0.109677
22.475570,-0.075269
22.557003,0.263441
22.638436,0.163441
22.964169,-0.044086
22.964169,0.125806
23.127036,-0.100000
23.127036,0.021505
23.615635,0.159140
23.697068,0.179570
24.429967,0.086022
24.511401,0.134409
24.592834,-0.091398
25.000000,-0.238710
25.000000,-0.118280
25.244300,0.232258
25.325733,-0.327957
25.407166,-0.192473
25.488599,0.051613
25.488599,-0.149462
25.488599,-0.005376
25.570033,0.169892
25.570033,-0.024731
25.570033,0.072043
25.651466,-0.060215
26.140065,0.006452
26.302932,0.075269
26.384365,-0.009677
26.547231,0.095699
26.791531,-0.058065
26.954397,-0.043011
27.035831,-0.083871
27.198697,-0.117204
27.442997,-0.231183
27.442997,0.189247
27.524430,0.133333
27.687296,-0.064516
27.850163,0.061290
27.931596,0.175269
28.094463,-0.054839
28.175896,0.011828
28.338762,-0.008602
28.420195,-0.241935
28.583062,0.186022
28.664495,0.244086
28.827362,-0.019355
28.908795,0.095699
28.990228,0.039785
29.071661,-0.007527
29.071661,0.164516
29.315961,-0.081720
29.315961,-0.207527
29.804560,-0.056989
29.885993,-0.230108
29.885993,0.016129
29.885993,0.166667
29.967427,-0.018280
30.293160,0.064516
30.374593,-0.039785
30.374593,0.220430
30.537459,0.133333
30.863192,-0.106452
31.026059,-0.026882
31.107492,-0.019355
31.188925,0.098925
31.270358,-0.001075
31.351792,-0.262366
31.433225,-0.075269
31.514658,0.069892
31.596091,0.047312
32.003257,-0.020430
32.084691,0.117204
32.084691,0.046237
32.166124,0.018280
32.247557,0.067742
32.328990,-0.046237
32.410423,-0.063441
32.573290,0.039785
32.980456,-0.043011
33.143322,-0.012903
33.306189,0.078495
33.387622,0.150538
33.631922,0.046237
33.794788,-0.070968
33.876221,-0.094624
33.876221,0.030108
34.039088,-0.125806
34.120521,0.265591
34.120521,0.054839
34.201954,-0.223656
34.364821,-0.056989
34.364821,0.008602
34.527687,-0.065591
34.771987,0.176344
34.771987,-0.364516
34.853420,-0.049462
34.853420,0.104301
34.934853,-0.025806
35.097720,0.129032
35.097720,-0.161290
35.179153,0.079570
35.260586,0.113978
35.504886,0.224731
35.667752,-0.006452
35.830619,0.148387
35.830619,0.044086
35.912052,0.021505
35.912052,0.104301
35.993485,-0.074194
36.156352,0.249462
36.156352,0.296774
36.237785,-0.122581
36.237785,0.018280
36.319218,-0.020430
36.319218,0.007527
36.400651,-0.100000
37.052117,-0.048387
37.052117,-0.268817
37.296417,-0.002151
37.377850,0.056989
37.377850,0.115054
37.377850,-0.159140
37.377850,-0.324731
37.377850,-0.135484
37.540717,-0.094624
37.540717,0.081720
37.622150,0.029032
37.785016,-0.034409
37.785016,0.177419
37.785016,0.041935
38.192182,-0.195699
38.273616,-0.012903
38.517915,-0.065591
39.169381,0.019355
39.332248,0.061290
39.332248,-0.129032
39.657980,-0.002151
40.146580,-0.055914
40.228013,0.023656
40.228013,-0.168817
40.309446,0.035484
40.390879,-0.258065
40.553746,-0.236559
40.635179,0.059140
40.635179,-0.138710
40.798046,0.170968
40.879479,-0.069892
40.879479,0.017204
40.879479,0.124731
41.123779,-0.196774
41.123779,-0.031183
41.205212,-0.123656
41.286645,0.145161
41.368078,-0.237634
41.530945,-0.004301
41.693811,0.240860
41.856678,0.119355
41.938111,-0.233333
42.182410,0.191398
42.263844,0.062366
42.345277,-0.130108
42.345277,0.050538
42.671010,-0.324731
42.915309,-0.056989
43.078176,0.161290
43.241042,0.021505
43.322476,-0.007527
43.322476,-0.258065
43.322476,0.245161
43.566775,0.094624
43.648208,-0.101075
43.892508,-0.041935
43.892508,0.111828
44.136808,0.062366
44.136808,-0.198925
44.299674,0.001075
44.462541,0.168817
44.543974,-0.243011
44.706840,-0.225806
44.706840,0.225806
44.706840,0.087097
44.869707,0.029032
44.869707,0.130108
44.951140,0.104301
45.032573,0.046237
45.439739,0.145161
45.602606,0.080645
45.765472,-0.054839
45.846906,0.108602
45.846906,0.021505
45.928339,-0.010753
45.928339,0.182796
45.928339,-0.103226
46.091205,0.244086
46.091205,0.096774
46.498371,0.032258
46.498371,0.010753
46.742671,-0.084946
46.824104,0.059140
46.905537,0.090323
47.231270,0.305376
47.231270,0.177419
47.394137,-0.051613
47.638436,-0.191398
47.719870,-0.039785
47.719870,-0.111828
47.964169,0.015054
48.045603,0.072043
48.208469,0.013978
48.371336,-0.007527
48.371336,0.066667
48.452769,0.031183
48.534202,-0.079570
48.534202,0.092473
48.615635,-0.245161
48.859935,-0.170968
48.941368,-0.293548
49.022801,-0.060215
49.267101,0.018280
49.348534,-0.034409
49.348534,0.123656
49.511401,0.089247
49.592834,-0.122581
49.592834,-0.083871
49.755700,0.059140
50.000000,0.003226
50.162866,0.140860
50.488599,0.105376
50.732899,-0.018280
50.814332,0.030108
50.895765,0.078495
51.221498,0.140860
51.465798,-0.189247
51.465798,-0.040860
51.791531,0.060215
51.872964,0.089247
51.954397,0.077419
51.954397,0.187097
52.117264,0.098925
52.198697,-0.070968
52.198697,0.001075
52.687296,0.069892
52.687296,-0.049462
52.850163,-0.098925
52.931596,-0.291398
52.931596,0.031183
52.931596,0.089247
53.420195,0.105376
53.501629,0.020430
53.664495,0.079570
53.745928,-0.072043
53.908795,-0.262366
54.315961,-0.031183
54.315961,0.235484
54.397394,0.138710
54.478827,-0.166667
54.560261,-0.010753
54.560261,0.026882
54.641694,-0.079570
54.641694,-0.110753
54.641694,0.079570
54.641694,-0.101075
54.723127,-0.089247
54.804560,0.107527
54.885993,-0.064516
55.130293,0.003226
55.130293,-0.224731
55.293160,0.049462
55.537459,-0.287097
55.537459,0.084946
55.781759,-0.010753
55.863192,-0.098925
56.188925,0.046237
56.270358,-0.112903
56.270358,-0.024731
56.433225,-0.078495
56.433225,0.213978
56.596091,0.261290
56.758958,-0.038710
56.758958,0.137634
56.840391,0.004301
57.084691,-0.016129
57.247557,0.166667
57.247557,-0.360215
57.247557,0.190323
57.328990,0.030108
57.491857,-0.131183
57.491857,0.064516
57.654723,0.017204
57.736156,0.115054
57.817590,-0.182796
57.899023,0.094624
57.980456,0.052688
58.061889,-0.011828
58.061889,-0.077419
58.143322,-0.227957
58.143322,-0.055914
58.306189,0.255914
58.469055,0.074194
58.794788,-0.031183
58.876221,0.108602
58.876221,-0.001075
58.957655,0.020430
59.039088,-0.101075
59.364821,-0.090323
59.364821,0.131183
59.609121,-0.210753
59.609121,-0.136559
59.690554,-0.059140
59.771987,0.102151
59.853420,0.034409
60.260586,-0.025806
60.342020,-0.033333
60.423453,0.064516
60.423453,-0.220430
60.504886,0.003226
60.586319,0.131183
60.586319,-0.045161
60.667752,-0.113978
60.912052,-0.010753
60.993485,-0.158065
61.156352,0.090323
61.563518,0.022581
61.807818,0.043011
61.889251,0.259140
62.133550,-0.018280
62.377850,-0.040860
62.459283,0.032258
62.540717,-0.092473
62.540717,0.154839
62.622150,0.073118
62.622150,-0.066667
62.622150,-0.175269
62.866450,0.209677
62.866450,-0.033333
62.866450,-0.341935
63.029316,-0.004301
63.110749,0.103226
63.192182,0.063441
63.436482,-0.076344
63.436482,0.005376
63.517915,-0.020430
63.680782,0.173118
63.680782,-0.096774
63.925081,0.016129
63.925081,-0.123656
64.006515,-0.147312
64.169381,0.132258
64.820847,-0.036559
64.820847,0.033333
64.902280,-0.193548
64.983713,0.119355
65.065147,-0.313978
65.228013,-0.002151
65.390879,0.051613
65.553746,-0.267742
65.879479,-0.063441
66.286645,-0.090323
66.286645,0.125806
66.368078,0.094624
66.693811,0.030108
66.693811,-0.122581
66.938111,-0.020430
67.100977,0.115054
67.345277,0.146237
67.345277,0.126882
67.752443,0.075269
67.915309,-0.069892
68.078176,0.117204
68.241042,0.045161
68.322476,0.109677
68.403909,-0.032258
68.648208,-0.177419
68.811075,0.222581
68.892508,0.163441
69.136808,0.032258
69.299674,-0.125806
69.299674,-0.155914
69.381107,-0.090323
69.625407,-0.187097
69.788274,0.062366
69.788274,0.195699
70.032573,0.130108
70.032573,0.100000
70.032573,0.003226
71.254072,-0.075269
71.986971,-0.035484
71.986971,0.024731
72.149837,0.095699
72.231270,-0.055914
72.312704,0.012903
72.475570,-0.261290
72.557003,-0.083871
72.638436,-0.139785
72.801303,0.050538
73.045603,0.176344
73.208469,-0.183871
73.289902,0.040860
73.778502,0.130108
73.941368,-0.048387
74.022801,0.018280
74.104235,0.088172
74.104235,-0.024731
74.185668,-0.035484
74.511401,-0.008602
74.674267,-0.001075
74.837134,-0.120430
75.407166,0.136559
75.651466,-0.092473
75.814332,-0.122581
75.895765,0.115054
76.058632,0.022581
76.140065,-0.015054
76.221498,0.237634
76.302932,0.074194
76.465798,0.007527
76.547231,-0.098925
76.954397,-0.037634
76.954397,-0.060215
77.117264,-0.082796
77.361564,0.135484
77.850163,0.196774
78.013029,0.095699
78.013029,0.167742
78.175896,0.067742
78.338762,-0.010753
78.338762,-0.092473
78.745928,0.147312
79.641694,0.107527
79.804560,0.192473
79.885993,0.132258
79.967427,-0.017204
80.618893,-0.156989
80.863192,-0.268817
80.863192,-0.093548
81.270358,0.074194
81.270358,-0.059140
81.758958,-0.115054
81.840391,0.196774
82.003257,0.090323
82.084691,-0.031183
82.491857,0.176344
82.573290,0.141935
83.061889,0.106452
83.306189,-0.261290
83.794788,0.020430
84.364821,-0.179570
85.423453,0.124731
85.504886,0.053763
85.504886,0.076344
85.504886,-0.080645
85.667752,0.204301
85.749186,0.003226
86.156352,0.104301
86.563518,0.050538
86.889251,-0.420430
87.133550,-0.004301
87.214984,-0.348387
87.866450,-0.163441
88.110749,-0.023656
88.599349,0.022581
89.983713,-0.092473
90.309446,-0.006452
90.960912,0.058065
91.612378,0.178495
91.612378,-0.106452
92.833876,-0.039785
92.996743,0.216129
94.136808,0.050538
94.951140,-0.305376
97.312704,0.169892
97.801303,-0.141935
98.289902,-0.210753
99.918567,0.024731
