entropy_percentile,expected_standing_points
0.079872,92.617188
0.239617,93.515625
0.399361,94.484375
0.479233,93.984375
0.718850,94.328125
0.878594,93.234375
1.198083,95.023438
1.198083,93.031250
1.517572,93.703125
1.837061,93.148438
1.916933,94.148438
1.996805,92.546875
2.635783,94.382812
2.715655,93.960938
2.795527,92.734375
3.194888,94.539062
3.354633,94.187500
3.514377,93.664062
3.514377,93.414062
3.674121,93.226562
4.233227,93.781250
4.392971,92.523438
4.712460,94.054688
4.872204,91.781250
4.872204,93.937500
4.872204,93.726562
5.031949,94.601562
5.271565,93.007812
5.591054,93.281250
6.150160,93.507812
6.150160,93.609375
6.230032,94.343750
6.549521,94.562500
6.549521,95.531250
6.948882,93.828125
7.028754,93.367188
7.108626,94.648438
7.108626,92.242188
7.348243,93.226562
7.428115,93.718750
7.507987,93.140625
8.945687,94.007812
8.945687,93.296875
9.744409,93.046875
9.904153,92.789062
9.984026,93.765625
9.984026,94.242188
10.223642,94.523438
10.543131,92.093750
10.782748,93.468750
10.782748,92.460938
10.862620,92.578125
11.341853,93.734375
12.619808,94.695312
12.779553,94.375000
13.498403,93.429688
13.498403,93.757812
13.498403,93.585938
13.817891,94.203125
13.817891,93.046875
14.297125,94.445312
14.297125,92.101562
15.095847,93.906250
15.175719,93.523438
15.654952,93.546875
15.654952,92.617188
15.734824,94.023438
15.734824,93.710938
16.773163,94.023438
16.773163,93.609375
16.853035,92.171875
16.853035,94.734375
17.252396,93.203125
17.252396,93.789062
17.332268,94.289062
17.571885,93.460938
17.971246,92.929688
18.210863,92.328125
18.530351,93.304688
19.089457,94.101562
19.169329,94.195312
19.249201,94.515625
19.648562,93.164062
20.127796,92.875000
20.127796,94.148438
20.287540,93.398438
20.527157,94.320312
20.926518,93.976562
21.246006,94.164062
21.645367,94.531250
22.044728,93.531250
22.284345,94.234375
22.523962,92.343750
22.923323,93.109375
23.003195,92.976562
23.322684,94.312500
23.562300,92.804688
23.881789,93.039062
23.961661,93.210938
24.121406,92.125000
24.281150,94.750000
24.520767,92.734375
24.600639,92.968750
24.680511,93.796875
24.920128,93.437500
25.239617,92.179688
25.479233,94.015625
25.479233,93.515625
25.559105,91.867188
25.718850,94.125000
26.198083,92.015625
26.277955,93.093750
26.757188,93.390625
26.757188,94.093750
26.837061,94.578125
26.996805,94.242188
26.996805,91.976562
27.076677,92.078125
27.076677,92.523438
27.076677,93.015625
27.396166,94.414062
27.396166,93.812500
27.476038,94.781250
27.635783,94.523438
27.955272,93.367188
28.115016,94.914062
28.434505,94.226562
28.514377,93.281250
28.594249,93.445312
28.674121,93.976562
28.753994,94.117188
29.233227,94.382812
29.552716,91.593750
29.872204,93.914062
29.872204,93.656250
30.111821,93.828125
30.191693,94.125000
30.431310,93.054688
30.591054,93.375000
30.670927,94.289062
30.750799,94.546875
30.830671,91.984375
30.910543,92.421875
31.070288,94.648438
31.389776,93.914062
31.549521,94.203125
31.709265,93.304688
32.268371,93.835938
32.428115,92.531250
32.587859,91.710938
32.907348,93.914062
33.067093,93.648438
33.067093,92.890625
33.546326,93.921875
33.546326,93.093750
33.706070,94.101562
33.865815,94.421875
34.105431,93.242188
34.265176,94.750000
34.345048,93.429688
34.424920,92.710938
34.584665,92.203125
34.744409,94.312500
34.824281,93.656250
34.904153,93.843750
34.904153,94.367188
35.223642,94.015625
35.303514,93.742188
35.383387,92.945312
35.543131,94.828125
35.862620,93.156250
36.182109,95.335938
36.421725,94.421875
36.501597,93.703125
36.581470,93.890625
36.661342,92.015625
36.980831,94.656250
37.140575,93.835938
37.220447,93.921875
37.380192,94.093750
37.699681,93.593750
38.019169,93.968750
38.338658,92.757812
38.338658,92.250000
38.658147,93.671875
38.658147,93.781250
38.977636,93.289062
38.977636,93.562500
39.297125,93.476562
39.456869,94.414062
39.456869,94.156250
39.696486,92.476562
39.776358,93.031250
40.175719,92.875000
40.175719,92.062500
40.415335,93.562500
40.575080,93.218750
40.575080,93.320312
40.654952,94.750000
40.894569,93.468750
40.894569,93.648438
40.974441,92.312500
41.214058,94.648438
41.293930,93.343750
41.773163,92.796875
41.773163,93.773438
41.853035,92.953125
42.492013,93.171875
42.492013,95.382812
42.571885,93.492188
42.651757,94.156250
42.731629,94.664062
42.731629,95.093750
43.051118,93.351562
43.130990,91.781250
43.690096,93.171875
44.568690,94.617188
44.808307,94.968750
44.808307,93.945312
45.686901,93.546875
45.766773,92.992188
45.926518,93.773438
46.325879,93.929688
46.645367,94.070312
46.884984,94.234375
47.683706,94.414062
48.003195,93.820312
48.003195,94.585938
48.083067,92.617188
48.083067,94.953125
48.482428,95.148438
48.722045,94.023438
48.801917,94.687500
49.041534,92.859375
49.121406,92.210938
49.201278,94.828125
49.520767,94.492188
50.000000,93.539062
50.079872,95.781250
50.638978,93.140625
50.718850,93.968750
50.878594,93.820312
50.958466,94.304688
51.437700,92.640625
51.437700,94.601562
51.517572,93.375000
51.837061,93.250000
52.476038,94.109375
52.875399,93.078125
53.194888,94.687500
53.274760,93.890625
53.434505,93.296875
53.514377,92.890625
53.674121,94.984375
53.674121,92.156250
53.833866,94.289062
54.472843,94.070312
54.632588,91.929688
54.792332,94.546875
54.792332,94.804688
55.351438,92.796875
55.351438,92.468750
55.431310,94.234375
55.431310,92.234375
55.990415,93.875000
55.990415,93.187500
56.709265,94.375000
57.028754,94.078125
57.507987,93.851562
57.987220,94.906250
58.306709,93.609375
58.466454,92.773438
58.626198,93.742188
58.706070,94.054688
58.865815,93.960938
58.945687,93.203125
58.945687,93.890625
59.265176,92.203125
59.345048,94.640625
59.504792,94.039062
59.584665,93.718750
59.584665,93.875000
60.383387,94.812500
60.383387,92.578125
60.463259,93.726562
60.782748,93.859375
61.182109,94.218750
61.261981,94.046875
61.581470,93.179688
62.619808,92.796875
62.939297,93.492188
63.418530,93.804688
63.498403,94.039062
