regulation_points_per_game,overtime_game_share
0.487768,0.146918
0.493119,0.127397
0.681957,0.219863
0.706422,0.268836
0.706422,0.244178
0.718654,0.232192
0.718654,0.159247
0.730887,0.293151
0.730887,0.244178
0.742355,0.280822
0.753823,0.268836
0.754587,0.219863
0.766820,0.353767
0.776758,0.268493
0.784404,0.186301
0.791284,0.256507
0.791284,0.232192
0.798165,0.171918
0.803517,0.195548
0.803517,0.219863
0.814985,0.282192
0.815749,0.232192
0.815749,0.183562
0.827217,0.317466
0.827217,0.195548
0.827217,0.244178
0.829511,0.268151
0.839450,0.280822
0.851682,0.195548
0.851682,0.293151
0.851682,0.244521
0.863914,0.183562
0.864679,0.232192
0.876147,0.244521
0.876147,0.268836
0.876147,0.293151
0.888379,0.207877
0.888379,0.183562
0.888379,0.232192
0.896789,0.261301
0.898318,0.243151
0.900612,0.171233
0.900612,0.293151
0.912080,0.207877
0.912844,0.232192
0.924312,0.122603
0.924312,0.317466
0.936544,0.207877
0.936544,0.305137
0.954128,0.215068
0.961009,0.280822
0.961009,0.159247
0.961009,0.207534
0.968654,0.257534
0.984709,0.183562
0.984709,0.207877
0.996942,0.195548
0.996942,0.268836
0.996942,0.217808
1.009174,0.183562
1.009174,0.329452
1.009939,0.207877
1.012232,0.309247
1.021407,0.171233
1.021407,0.244521
1.021407,0.195548
1.025994,0.217808
1.025994,0.183562
1.025994,0.275685
1.029817,0.233904
1.033639,0.256507
1.039755,0.328767
1.039755,0.157877
1.043578,0.172603
1.045872,0.244521
1.055810,0.230479
1.058104,0.207877
1.058104,0.305137
1.058104,0.183562
1.069572,0.171233
1.069572,0.220205
1.069572,0.244521
1.070336,0.268836
1.081040,0.211644
1.081804,0.256507
1.081804,0.183562
1.081804,0.231849
1.081804,0.280822
1.081804,0.239041
1.083333,0.248973
1.094037,0.220205
1.094037,0.171233
1.094037,0.195548
1.094801,0.244521
1.106269,0.232192
1.106269,0.183562
1.118502,0.219863
1.118502,0.268836
1.118502,0.171233
1.118502,0.195548
1.130734,0.232192
1.141437,0.246918
1.142966,0.219863
1.142966,0.195548
1.142966,0.171233
1.155199,0.232192
1.155199,0.258562
1.155199,0.207877
1.167431,0.219863
1.167431,0.268836
1.178899,0.232192
1.178899,0.282192
1.195719,0.200685
1.203364,0.183562
1.203364,0.232192
1.227064,0.256507
1.227829,0.207877
1.240061,0.195548
1.240061,0.146918
1.252294,0.256507
1.253058,0.171918
1.275994,0.232192
1.288226,0.268836
1.312691,0.219863
1.324924,0.232192
1.337920,0.257534
1.397554,0.207877
