regulation_points_per_game,overtime_points_share
-0.511976,0.777540
-0.506737,0.247059
-0.317365,0.330481
-0.292665,0.635294
-0.292665,0.459893
-0.280689,0.582888
-0.280689,0.554011
-0.268713,0.361497
-0.255988,0.642781
-0.244012,0.544385
-0.244012,0.498396
-0.232036,0.347594
-0.225299,0.459893
-0.220060,0.498396
-0.214820,0.699465
-0.207335,0.196791
-0.207335,0.301604
-0.200599,0.554011
-0.195359,0.582888
-0.195359,0.397861
-0.189371,0.498396
-0.183383,0.635294
-0.183383,0.330481
-0.175150,0.330481
-0.171407,0.576471
-0.171407,0.691979
-0.158683,0.247059
-0.147455,0.459893
-0.146707,0.544385
-0.146707,0.582888
-0.134731,0.373262
-0.134731,0.498396
-0.131737,0.452406
-0.122754,0.666310
-0.122754,0.749733
-0.120509,0.442781
-0.110030,0.818182
-0.110030,0.414973
-0.110030,0.459893
-0.110030,0.355080
-0.101796,0.247059
-0.101048,0.552941
-0.098802,0.583957
-0.098054,0.498396
-0.087575,0.578610
-0.074102,0.419251
-0.074102,0.330481
-0.062126,0.498396
-0.061377,0.269519
-0.044162,0.330481
-0.037425,0.368984
-0.037425,0.498396
-0.029192,0.452406
-0.012725,0.397861
-0.012725,0.818182
-0.002246,0.625668
-0.001497,0.597861
-0.000749,0.498396
-0.000749,0.749733
0.007485,0.620321
0.011228,0.096257
0.013473,0.531551
0.023204,0.361497
0.023952,0.458824
0.026946,0.498396
0.027695,0.642781
0.029940,0.544385
0.035928,0.196791
0.042665,0.623529
0.044910,0.379679
0.044910,0.426738
0.047156,0.750802
0.056138,0.330481
0.056138,0.699465
0.059132,0.426738
0.059880,0.777540
0.059880,0.561497
0.060629,0.727273
0.071108,0.336898
0.071108,0.324064
0.071856,0.459893
0.072605,0.801070
0.073353,0.498396
0.075599,0.397861
0.082335,0.330481
0.083084,0.491979
0.083084,0.504813
0.083832,0.609626
0.083832,0.543316
0.084581,0.139037
0.086078,0.571123
0.096557,0.631016
0.096557,0.422460
0.096557,0.498396
0.107784,0.588235
0.108533,0.547594
0.120509,0.498396
0.120509,0.749733
0.122006,0.570053
0.126497,0.448128
0.133234,0.600000
0.139970,0.359358
0.144461,0.714439
0.145210,0.330481
0.145210,0.570053
0.145210,0.498396
0.145210,0.139037
0.157186,0.414973
0.157186,0.608556
0.157934,0.544385
0.169910,0.527273
0.169910,0.361497
0.181886,0.598930
0.181886,0.666310
0.181886,0.498396
0.198353,0.544385
0.205838,0.397861
0.205838,0.227807
0.230539,0.498396
0.230539,0.666310
0.242515,0.624599
0.242515,0.459893
0.254491,0.397861
0.255988,0.361497
0.279192,0.382888
0.291168,0.498396
0.315120,0.727273
0.333084,0.540107
0.400449,0.699465
