match_id,match_date,surface,smoothed_matchup_mean,smoothed_matchup_sd,filtered_matchup_mean,filtered_matchup_sd,matchup_revision_z
M9NLIxtQ,2024-01-01,HARD,0.1086079303,0.1299968061,0.3148596921,0.3772782541,-0.5823447221
l0uFacZm,2024-01-01,HARD,-0.3794701488,0.1492970979,0.3271772574,0.5296104283,-1.390678318
ruvSuq4r,2024-01-01,HARD,-0.2554743816,0.1310362544,-0.1971176307,0.3375995742,-0.1875628216
CYx2OEth,2024-01-01,HARD,-0.03412859819,0.1504555172,0.2195689848,0.3761951383,-0.7357853208
rJOHJIQJ,2024-01-01,HARD,-0.3037058556,0.1450977325,-0.2989730112,0.3734026762,-0.01375593199
Kbx6NYeb,2024-01-01,HARD,-0.2239686129,0.1439236693,-0.4084771683,0.3659910937,0.5483088908
fH8m5itU,2024-01-01,HARD,-0.03727275763,0.1448444365,0.1598900767,0.3406332971,-0.6395086238
UFbr5JBQ,2024-01-01,HARD,2.284583861,0.1462782005,2.162577851,0.3744504765,0.3539517296
GAPi3A9j,2024-01-01,HARD,1.195753606,0.1492248064,1.39157489,0.393920817,-0.537141004
UFzzeZmJ,2024-01-01,HARD,-0.5128164535,0.1479825197,-0.6924508677,0.4510106736,0.4216354405
6yjA0wKs,2024-01-01,HARD,0.4565308974,0.1396381939,0.06160350795,0.3777532377,1.125159836
Cdmdo5tL,2024-01-01,HARD,1.449411217,0.1395444308,1.789374696,0.3602330912,-1.023655668
CvbKLIPH,2024-01-02,HARD,-0.2263496973,0.133502073,-0.7075938182,0.3689735808,1.39906774
YsvbPfRo,2024-01-02,HARD,-0.5262454241,0.1585068767,-1.052288987,0.499530619,1.110462973
8pxzxrif,2024-01-02,HARD,-0.2346166293,0.1479911667,-0.262720139,0.3692299094,0.08307911518
Qai0pPeR,2024-01-02,HARD,-0.3145938502,0.1363408831,-0.08765314375,0.3513544827,-0.7008177988
2sfTwNYf,2024-01-02,HARD,-1.273733369,0.1476661081,-1.172737885,0.3499556726,-0.3183211706
MVxWv3Jl,2024-01-02,HARD,-0.3439573127,0.1343818541,-0.5222195913,0.372256874,0.5134945544
tYhXxsl1,2024-01-02,HARD,-1.33393378,0.1527575533,-1.620801471,0.3630015631,0.8711568685
AR753n1k,2024-01-02,HARD,0.104738197,0.1290736285,-0.0202304661,0.3092107177,0.4447557521
