match_id,match_date,player_1_won,probability_peak_22,probability_peak_24,probability_peak_26,probability_peak_28
M9NLIxtQ,2024-01-01,1,0.5561584144,0.5755305387,0.573775302,0.5751750338
l0uFacZm,2024-01-01,1,0.5550338335,0.5761685781,0.567667089,0.5611717611
ruvSuq4r,2024-01-01,1,0.4686290174,0.4521933967,0.4487292426,0.4500016284
CYx2OEth,2024-01-01,0,0.5784718215,0.5528827796,0.5454915545,0.5577736941
rJOHJIQJ,2024-01-01,0,0.4271824692,0.4281816351,0.4488197201,0.4478207504
Kbx6NYeb,2024-01-01,0,0.4057093425,0.4023258401,0.4276809698,0.4319666461
fH8m5itU,2024-01-01,0,0.5528435803,0.5387990925,0.5381015436,0.5342526562
UFbr5JBQ,2024-01-01,1,0.9000386231,0.8917160555,0.8916212807,0.8919528722
GAPi3A9j,2024-01-01,0,0.7928215851,0.7936566585,0.8079117787,0.8096148471
UFzzeZmJ,2024-01-01,0,0.3406573451,0.3404410083,0.3403260635,0.3405097623
6yjA0wKs,2024-01-01,1,0.5173496906,0.5148828803,0.5145751782,0.51519125
Cdmdo5tL,2024-01-01,1,0.8519560321,0.8512607774,0.8501095209,0.8457751124
CvbKLIPH,2024-01-02,0,0.3348586518,0.334976574,0.3490456022,0.3490931419
YsvbPfRo,2024-01-02,0,0.2615217581,0.2694708904,0.2841422823,0.2937737935
8pxzxrif,2024-01-02,1,0.435680575,0.4367497698,0.4572087988,0.4565582095
Qai0pPeR,2024-01-02,0,0.478943034,0.478737044,0.4991014192,0.5018166137
2sfTwNYf,2024-01-02,0,0.255667036,0.2419870823,0.2419428772,0.2409745968
MVxWv3Jl,2024-01-02,1,0.3768329148,0.3762293375,0.3893553141,0.3908909233
tYhXxsl1,2024-01-02,0,0.16425622,0.1710448965,0.1695334713,0.1725070985
AR753n1k,2024-01-02,0,0.4968358664,0.4950580135,0.4867643514,0.487029394
8QVEm9Vn,2024-01-02,0,0.518317593,0.5171697709,0.5386992524,0.5415769639
bTLaklpF,2024-01-02,1,0.8139551607,0.814289039,0.8089836256,0.82195395
rVAGKKfU,2024-01-02,0,0.2678360545,0.2513373861,0.2535492348,0.2530196098
ncb6QxUj,2024-01-02,1,0.6503385626,0.6664251539,0.6679109024,0.6702875218
E5NIl1Jf,2024-01-02,1,0.4163518145,0.4139142432,0.4112121676,0.4140754456
Ii7926Ge,2024-01-02,1,0.6104472959,0.6026908667,0.6238403789,0.625927235
6saUAizc,2024-01-02,1,0.8963860709,0.8964823854,0.8977434825,0.8978965846
IBigeGC5,2024-01-02,0,0.4304361149,0.4304269088,0.4296305796,0.4078360228
bTalOZvH,2024-01-02,0,0.8527478163,0.8534853265,0.8469400634,0.8468730098
8OKyaczG,2024-01-02,1,0.2884191395,0.2847256865,0.2821727741,0.2826667489
vmgiu4M7,2024-01-02,1,0.6342397577,0.6272642875,0.6287046207,0.6487268295
YoKurzVd,2024-01-03,0,0.6211207016,0.6068204875,0.6075148247,0.6280371948
4zMm4jfp,2024-01-03,1,0.475062361,0.4732222074,0.4516534706,0.4518867119
Sr8aX9PM,2024-01-03,1,0.5718493484,0.5722793715,0.5586977409,0.5508857771
46MejUU8,2024-01-03,1,0.5560639434,0.5553425516,0.5562590121,0.5578615862
2uiVhiqF,2024-01-03,0,0.1609777874,0.1611209462,0.1518333483,0.1507455738
bRprQGR1,2024-01-03,0,0.6366556267,0.6417730433,0.6408744759,0.6424205238
ni7x9V49,2024-01-03,0,0.3872157417,0.3885363744,0.4009299489,0.4015117987
IoEdsGOJ,2024-01-03,1,0.8104413658,0.8133709626,0.8103209375,0.8113388492
Q5dOh3Z1,2024-01-03,0,0.261451623,0.2731737014,0.2682299768,0.2682316796
nNu3lXVn,2024-01-03,0,0.3621848318,0.3599421155,0.3619982418,0.3627386982
tffCaEjH,2024-01-03,0,0.1936255437,0.1944254026,0.2004697618,0.1989036075
nFcKgqKe,2024-01-03,1,0.6308292663,0.6345732151,0.6267706855,0.6389257079
SzYUVi2U,2024-01-03,0,0.3868125921,0.3875040859,0.3884352357,0.3752238408
tzQfvE0B,2024-01-03,0,0.3577785571,0.3580433926,0.362373385,0.3665348154
KW5KT7zF,2024-01-03,0,0.1638251755,0.1639255197,0.1692107526,0.1682689413
UDJgk9BC,2024-01-04,0,0.5629091741,0.5445721862,0.5489970049,0.5630361248
Qa7FBC8g,2024-01-04,0,0.2295232223,0.2301344452,0.219244614,0.2256023555
zF8nAIq2,2024-01-04,1,0.8812710585,0.8802086838,0.8884630205,0.8881382106
fXbTZAFb,2024-01-04,1,0.620510826,0.6300971119,0.6169322941,0.6160469134
jNQzArcS,2024-01-04,0,0.5496834415,0.5473294905,0.5455520652,0.5536957104
rizGE6rc,2024-01-04,1,0.9026655643,0.8979746377,0.8985504127,0.8986977326
nXIOlNIc,2024-01-04,0,0.2188843383,0.2321330545,0.2202902182,0.2203910194
ELk6HnC2,2024-01-04,1,0.7270784409,0.738621575,0.7418575618,0.742245896
IkMk4DQ6,2024-01-04,1,0.296886023,0.2962970775,0.2922828942,0.2937281228
f7eJFgfH,2024-01-05,1,0.8013726041,0.8016020301,0.8090695161,0.802776579
dhHUSBLc,2024-01-05,0,0.4929631881,0.4962229605,0.5093591382,0.5100345918
ELafRdDs,2024-01-05,0,0.4746867042,0.4783833712,0.4927325938,0.4931278039
x08SVx5Q,2024-01-05,0,0.4212180202,0.4184469364,0.4393898952,0.4375842704
dpkaQGSm,2024-01-05,1,0.874810184,0.8703275254,0.8667623514,0.8761984137
Y7aUYsGq,2024-01-05,1,0.831211811,0.8314797826,0.8303459322,0.8303852596
QPtGMYRC,2024-01-05,1,0.5047243592,0.5000588622,0.5005615784,0.5004060074
rw9OWIkK,2024-01-05,1,0.8348035298,0.8449359099,0.8607036365,0.8716020501
WE5ZRT3h,2024-01-05,0,0.1782723356,0.1754880653,0.1715819492,0.1708816324
EwBUS9ln,2024-01-05,1,0.6616678141,0.667409193,0.6678332964,0.6670757976
r1iBNEC6,2024-01-05,0,0.5178734502,0.5144734784,0.5004163368,0.5004098541
OAaJLhsJ,2024-01-05,0,0.07138190383,0.06792865841,0.06367409876,0.0724606378
rk7LKtX5,2024-01-05,0,0.352174259,0.363672282,0.366003167,0.3656451318
4Ah7Ofc0,2024-01-05,1,0.4392823524,0.4420958116,0.4213233157,0.4248791178
zmCQTkZu,2024-01-05,0,0.111765259,0.1167678477,0.1199823389,0.1190636542
