week_ending,player_id,overall_mean,overall_sd,hard_mean,hard_sd,clay_mean,clay_sd,grass_mean,grass_sd
2026-01-04,jNyZsXZe,3.779147147,0.2841223421,3.799994143,0.2818738602,4.043229739,0.2875845013,3.494217559,0.2906960512
2026-01-04,vyhksgUB,3.277299608,0.2863375926,3.392393685,0.2840962488,3.262797298,0.2902003457,3.176707841,0.2927495152
2026-01-04,UDzElXdm,3.050995591,0.2641939625,3.065598128,0.2615300768,2.9977177,0.2687821541,3.089670944,0.2707687207
2026-01-04,f5BXmEH6,2.865501118,0.2786300912,2.906958836,0.2759533653,2.793736408,0.2830772781,2.895808111,0.2856955856
2026-01-04,lI6fOOat,2.726630308,0.2918028612,2.768512195,0.2866947294,2.849122321,0.3003022039,2.562256409,0.3059728852
2026-01-04,KdojxrAR,2.415802074,0.2786381095,2.535785116,0.2762328842,2.384614614,0.2830600826,2.327006492,0.2853876989
2026-01-11,jNyZsXZe,3.789822637,0.293409615,3.810536835,0.2912298343,4.053968159,0.2967641701,3.504962917,0.2997817861
2026-01-11,vyhksgUB,3.442237991,0.138465908,3.557264666,0.1334188181,3.427741605,0.1462882941,3.341707701,0.1515881892
2026-01-11,UDzElXdm,3.345860611,0.160614738,3.36033323,0.1561476627,3.292651765,0.1680641092,3.38459684,0.171247636
2026-01-11,f5BXmEH6,2.875754028,0.2880431615,2.917020669,0.2854511386,2.804025756,0.2923486436,2.906215659,0.2948851015
2026-01-11,lI6fOOat,2.483477818,0.1691314401,2.524715172,0.1587222717,2.606028155,0.1834658954,2.319690127,0.1936745586
2026-01-11,KdojxrAR,2.343378285,0.1484355445,2.463179676,0.1437584346,2.312186358,0.1565878448,2.254768821,0.1608389713
2026-01-18,jNyZsXZe,3.786357661,0.3024733787,3.807311132,0.3003584143,4.050429385,0.3057290377,3.501332466,0.3086588086
2026-01-18,vyhksgUB,3.522449692,0.1535584856,3.637747108,0.1490112173,3.507864327,0.1606507333,3.42173764,0.1654960931
2026-01-18,UDzElXdm,3.37367054,0.1752677483,3.388359,0.1711802008,3.320344952,0.1821198415,3.412307668,0.1850624459
2026-01-18,f5BXmEH6,3.162755292,0.2123724052,3.204262927,0.208799642,3.090902785,0.2181932099,3.193100164,0.2215879161
2026-01-18,lI6fOOat,2.67174308,0.1383929552,2.713634743,0.1251018729,2.794218543,0.155607843,2.507375953,0.1677470793
2026-01-18,KdojxrAR,2.545723372,0.1493375235,2.6656933,0.1446799184,2.514454387,0.1574475355,2.457022428,0.1616758864
2026-01-25,jNyZsXZe,3.813970449,0.165605051,3.834836084,0.1616227969,4.07811447,0.1714784629,3.528960793,0.1767301176
2026-01-25,vyhksgUB,3.633489188,0.1345210157,3.748715157,0.129267557,3.619008485,0.1425672703,3.532743922,0.1480320819
2026-01-25,UDzElXdm,3.524850321,0.1317812673,3.539576676,0.1262720572,3.471602765,0.1407702839,3.563371522,0.14456846
2026-01-25,f5BXmEH6,3.167719911,0.1478117212,3.209129017,0.1425873026,3.095914936,0.1560775602,3.198115781,0.1607924459
2026-01-25,lI6fOOat,2.921470513,0.1297427695,2.962841392,0.1153263651,3.044458445,0.1479739372,2.757111701,0.160773949
2026-01-25,KdojxrAR,2.774770715,0.1301985077,2.894514628,0.124814581,2.743597692,0.1394335426,2.686199825,0.1441892237
