match_id,match_date,surface,player_id,filtered_overall_mean,filtered_overall_sd,smoothed_overall_mean,smoothed_overall_sd,overall_revision_z,filtered_played_surface_mean,filtered_played_surface_sd,smoothed_played_surface_mean,smoothed_played_surface_sd,played_surface_revision_z
6yjA0wKs,2024-01-01,HARD,2yj9GWan,1.77577828,0.2803370569,1.912936184,0.1168556917,0.5382524993,1.82771081,0.2619970478,2.035018663,0.100985893,0.8575207987
6yjA0wKs,2024-01-01,HARD,rkOojWt6,1.839633533,0.3036943258,1.567055746,0.1528523487,-1.038691941,1.766107303,0.2810100487,1.578487765,0.1302358204,-0.7534661203
CYx2OEth,2024-01-01,HARD,dMopwFzs,1.679853077,0.2928368719,1.3566811,0.1443917611,-1.268517455,1.735145312,0.2590903441,1.60416253,0.1333631479,-0.5896651977
CYx2OEth,2024-01-01,HARD,MewU5OwE,1.456405771,0.3083178758,1.480913631,0.1381054183,0.08890707195,1.515576327,0.2785882731,1.638291128,0.1218767015,0.4898511651
Cdmdo5tL,2024-01-01,HARD,zHMiAkw6,2.607735531,0.3079782077,2.583053351,0.1147929194,-0.08636620663,2.786663105,0.2972558703,2.671023815,0.1027980689,-0.4146039683
Cdmdo5tL,2024-01-01,HARD,WUunsrrI,0.9042549156,0.225691096,1.151547483,0.148357408,1.453994424,0.9972884096,0.2128793317,1.221612598,0.1280923814,1.319326915
GAPi3A9j,2024-01-01,HARD,IJAxNUl3,2.712566052,0.2840002586,2.454221597,0.1315551954,-1.026426768,2.866263936,0.2790735281,2.557279552,0.1251983595,-1.238840768
GAPi3A9j,2024-01-01,HARD,8hvtJI4d,1.511894692,0.2826540309,1.374599291,0.1350250976,-0.5529028907,1.474689046,0.2853718755,1.361525946,0.1253018245,-0.4413685149
Kbx6NYeb,2024-01-01,HARD,f1PZMn7P,2.13093603,0.2682611185,2.062903007,0.1260677081,-0.2873100181,2.144550894,0.2637019808,2.054571669,0.1195088416,-0.3827816117
Kbx6NYeb,2024-01-01,HARD,GvHZX89Q,2.45304925,0.2638353341,2.234596337,0.1451419773,-0.9915052671,2.553028063,0.2615849221,2.278540282,0.1224010967,-1.187328589
M9NLIxtQ,2024-01-01,HARD,8jMJmh84,2.631339594,0.2729758376,2.408046881,0.1206898619,-0.9119705361,2.686151854,0.2649706,2.500564655,0.1107682632,-0.7710090611
M9NLIxtQ,2024-01-01,HARD,W2BCKjLQ,2.359705007,0.2815183391,2.40259573,0.1146670905,0.1668204891,2.371292162,0.277809533,2.391956725,0.1080102397,0.08073577751
UFbr5JBQ,2024-01-01,HARD,f5BXmEH6,4.017281055,0.2781157386,4.338354342,0.1094678539,1.25583052,4.09657054,0.2743144547,4.379895537,0.1026091066,1.113695174
UFbr5JBQ,2024-01-01,HARD,8KHYNHRA,1.902417723,0.2690639263,2.085154625,0.146719038,0.8102144748,1.933992689,0.2635328268,2.095311676,0.1385473391,0.719613605
UFzzeZmJ,2024-01-01,HARD,SjM2LLB8,2.263259492,0.3350235991,2.598504307,0.1523121212,1.123479189,2.415644993,0.3214515348,2.755323169,0.138357145,1.170689015
UFzzeZmJ,2024-01-01,HARD,jyngIesG,2.969329014,0.3250971702,3.170171023,0.1138487556,0.6595569763,3.108095861,0.3231002345,3.268139623,0.1072347355,0.5251021699
fH8m5itU,2024-01-01,HARD,6L5yEis0,2.279174061,0.224119583,1.869161714,0.1387683873,-2.329731355,2.290867318,0.2210483847,1.883469541,0.1339357432,-2.316720258
fH8m5itU,2024-01-01,HARD,MysmW1jf,2.118738526,0.2716733004,1.919112189,0.1142729121,-0.8099375719,2.130977241,0.2665736144,1.920742298,0.1065637623,-0.8603935834
l0uFacZm,2024-01-01,HARD,nwkutKbi,3.018024226,0.4603114827,2.673244853,0.1340467712,-0.782946479,3.055835239,0.4605558228,2.705381987,0.1301065051,-0.7932462523
l0uFacZm,2024-01-01,HARD,2LhiB9IJ,2.617754256,0.2745714578,2.975888474,0.1345611776,1.496352089,2.728657982,0.2683775853,3.084852135,0.1266410732,1.505348698
rJOHJIQJ,2024-01-01,HARD,KGQ2bDHb,2.048116063,0.271652404,2.110698341,0.1386124527,0.2678725239,2.148705644,0.2619589269,2.082319337,0.1284052631,-0.2907472565
rJOHJIQJ,2024-01-01,HARD,r9RckFqs,2.476135905,0.277341549,2.410095543,0.1224369007,-0.2653795973,2.447678656,0.2741734776,2.386025192,0.1161403887,-0.2482426919
ruvSuq4r,2024-01-01,HARD,xU3quIf5,1.954567461,0.2789152021,2.00126,0.118389116,0.1848898341,2.085513276,0.2733082144,2.104568216,0.1071282308,0.07578393566
ruvSuq4r,2024-01-01,HARD,CWtkHlUE,2.281954454,0.2123883644,2.354143564,0.1164465485,0.4064234526,2.282630907,0.2079478743,2.360042597,0.1102493664,0.4390504025
2sfTwNYf,2024-01-02,HARD,vZ8lpjnM,0.9656061185,0.2346138921,1.082019767,0.1457322557,0.6331525621,0.9118147485,0.2360122622,1.071100797,0.1374356888,0.8301868316
2sfTwNYf,2024-01-02,HARD,4IwCdyAG,1.997248655,0.2730016769,2.238323888,0.1188905079,0.9809621172,2.084552634,0.2659420563,2.344834166,0.1059643262,1.067079493
6saUAizc,2024-01-02,HARD,vyhksgUB,4.111731822,0.2822083531,4.455162235,0.1079224359,1.31705069,4.241188822,0.2791987938,4.569849665,0.1017456706,1.264082177
6saUAizc,2024-01-02,HARD,rBZ5EARu,2.138058256,0.2693522962,2.047428663,0.1241722377,-0.379167095,2.027150344,0.2607193581,2.023427948,0.114031568,-0.01587647964
8OKyaczG,2024-01-02,HARD,hQQLzcNT,1.471738393,0.2398811959,1.719772505,0.1235442627,1.206271131,1.445379953,0.2318955002,1.694339158,0.1128216217,1.22882068
8OKyaczG,2024-01-02,HARD,tlZeVkkp,2.339178175,0.2159988413,2.411069344,0.1272117873,0.4118322557,2.386160894,0.2089760429,2.455847822,0.1172307499,0.4028217652
8QVEm9Vn,2024-01-02,HARD,MDM4BKiA,2.5097455,0.3191011697,2.829115959,0.1457786115,1.125114879,2.776637179,0.3111597517,3.009965357,0.1380954184,0.8367907331
8QVEm9Vn,2024-01-02,HARD,xGn9KNfO,2.721374022,0.3078666611,2.610720806,0.1300164523,-0.3965132914,2.704875604,0.3053340046,2.608399043,0.1238724801,-0.3456976267
8pxzxrif,2024-01-02,HARD,O81eud9p,2.226066427,0.2945892988,2.126790778,0.1453831409,-0.3874687005,2.289870483,0.2718611317,2.258044577,0.1351737233,-0.134927575
AR753n1k,2024-01-02,HARD,6XSnpS5h,2.58900854,0.2355052857,2.329704186,0.1197368477,-1.278652367,2.60306269,0.2270899733,2.397148351,0.1076168385,-1.029720086
CvbKLIPH,2024-01-02,HARD,KGdcQnEf,2.53580604,0.2404126919,2.812367127,0.1226663514,1.337570781,2.589553062,0.2349681949,2.876855457,0.115698546,1.404840399
CvbKLIPH,2024-01-02,HARD,neAp94aO,3.237479337,0.2950315834,3.070810681,0.1129291619,-0.6114865191,3.29714688,0.2920488801,3.103205155,0.1061135304,-0.7127876145
E5NIl1Jf,2024-01-02,HARD,fBPsm3Iq,2.956125362,0.2808164203,2.752140825,0.140631231,-0.8392171729,2.932066357,0.2770494474,2.780216281,0.1348624644,-0.6274554844
IBigeGC5,2024-01-02,HARD,8CZqQdSa,2.694825252,0.2343505761,2.655536818,0.1228603884,-0.1968720211,2.762572297,0.2286882846,2.716514418,0.1158333767,-0.2335798874
IBigeGC5,2024-01-02,HARD,GU42elks,3.107141606,0.2716713072,2.988361189,0.1194484103,-0.4867993603,3.050734707,0.2682074887,2.942581982,0.1141993439,-0.4456591243
Ii7926Ge,2024-01-02,HARD,WMS3AdAb,2.787135407,0.2165914751,2.873008181,0.1125205013,0.4640009161,2.975726053,0.2117830151,3.035692365,0.1065008495,0.3275839581
MVxWv3Jl,2024-01-02,HARD,K4Sih0XH,1.235851435,0.2317068796,1.489515738,0.1394258471,1.370687674,1.130956335,0.2241497723,1.461821435,0.1175953252,1.733859983
MVxWv3Jl,2024-01-02,HARD,Ova6pdYE,1.645343788,0.3046173887,1.820845248,0.1130461923,0.6204436207,1.653175926,0.3037608083,1.805778748,0.1061359291,0.5361724862
Qai0pPeR,2024-01-02,HARD,S4ljFw3g,1.65873123,0.2758035083,1.413071555,0.1302324246,-1.010448261,1.910464065,0.2656149593,1.567969116,0.1177594387,-1.438546303
Qai0pPeR,2024-01-02,HARD,4Qyc8N2g,2.004535893,0.2502284365,1.783632268,0.126971182,-1.024497671,1.998117209,0.2392352794,1.882562966,0.1106105498,-0.5447350342
YsvbPfRo,2024-01-02,HARD,ra7IoKGO,2.124218407,0.20472027,2.255841333,0.1416955848,0.8907940724,2.03675496,0.1966870167,2.201299892,0.1379316354,1.173506803
YsvbPfRo,2024-01-02,HARD,YmIZde1B,2.890059578,0.4632319906,2.615316203,0.1397932162,-0.622104659,3.089043947,0.4630459748,2.727545316,0.1329455786,-0.8150112095
bTLaklpF,2024-01-02,HARD,GUIVvvjL,3.009714411,0.2758106211,3.006764972,0.1302008222,-0.0121303942,2.984548131,0.2723291238,2.973091372,0.1254133841,-0.04739435132
bTLaklpF,2024-01-02,HARD,dKYVCedT,1.481818933,0.2375002469,1.597990085,0.1161736051,0.5608138491,1.468439471,0.2309232833,1.595459821,0.1033045367,0.615027833
bTalOZvH,2024-01-02,HARD,dzbgeEFF,2.997079403,0.276193615,2.990300251,0.1346491935,-0.0281119625,2.934790983,0.2728694534,2.911720279,0.129877039,-0.0961365344
ncb6QxUj,2024-01-02,HARD,WxLdKcAs,2.859355651,0.2456958653,2.830690019,0.1079026435,-0.1298650792,2.703129755,0.2328403626,2.75074807,0.09618149037,0.2245653439
ncb6QxUj,2024-01-02,HARD,bigXsmFf,2.090873848,0.275277144,1.644477379,0.1362004283,-1.866037868,1.991554772,0.2649370585,1.591713251,0.1246179861,-1.710192989
rVAGKKfU,2024-01-02,HARD,x81l09qG,2.933523822,0.2983297382,2.565655194,0.1217247452,-1.350636402,2.975481908,0.2954522369,2.553654788,0.1152604323,-1.550593399
tYhXxsl1,2024-01-02,HARD,Cjagsdf4,1.73659627,0.2352555777,1.825278274,0.1502299653,0.489842616,1.616598638,0.215266482,1.772882459,0.1406638877,0.959079337
tYhXxsl1,2024-01-02,HARD,pS5UjYbG,2.962425672,0.3036605391,2.962339089,0.1223997373,-0.0003115632432,3.237400108,0.2993487963,3.10681624,0.1154332098,-0.4727922055
vmgiu4M7,2024-01-02,HARD,Gloq9MUN,3.269157718,0.2801328452,3.203500712,0.1174174619,-0.2581491656,3.193879211,0.2766383436,3.134438865,0.1111237254,-0.2346283504
vmgiu4M7,2024-01-02,HARD,OOzDwMPt,2.592918968,0.2429147244,2.331273331,0.138057139,-1.309082807,2.657418217,0.2387113301,2.385860822,0.1294142862,-1.353815263
2uiVhiqF,2024-01-03,HARD,UDzElXdm,3.78358867,0.2814349519,4.112904848,0.1076814634,1.266503878,3.808537529,0.2783751984,4.127834257,0.1013203508,1.231467073
46MejUU8,2024-01-03,HARD,Y1ZrrUtl,2.616684874,0.2572004699,2.888868173,0.1051696611,1.159630088,2.691649026,0.2538917041,2.963747142,0.09938510779,1.164647382
46MejUU8,2024-01-03,HARD,21U8Dqna,2.474150879,0.2391838715,2.621531832,0.1202384762,0.7127955945,2.463185257,0.2344233501,2.588685254,0.1125867516,0.6103567796
4zMm4jfp,2024-01-03,HARD,lI6fOOat,3.322732243,0.241136784,3.44097326,0.1182542002,0.5626513911,3.25478196,0.2217071486,3.479481235,0.1047955865,1.150083912
4zMm4jfp,2024-01-03,HARD,hIA4C9YT,3.348807638,0.2720255295,3.315692912,0.1498178844,-0.1458466128,3.365024786,0.2681612427,3.33284384,0.1458224567,-0.1429963995
Sr8aX9PM,2024-01-03,HARD,vXvzyRlq,2.484436743,0.2747786702,2.23587998,0.1269989834,-1.020059077,2.471195325,0.2711568046,2.223333766,0.1220817375,-1.023713974
Sr8aX9PM,2024-01-03,HARD,fkFeyKHL,2.222092175,0.232457483,2.140677945,0.1332626316,-0.4274460767,2.171613962,0.2249986728,2.158487239,0.1269627677,-0.07066692515
YoKurzVd,2024-01-03,HARD,zNoTPac0,2.592682146,0.2747706042,2.461340816,0.1411523218,-0.5571370473,2.444874976,0.2688091517,2.340734172,0.1335125774,-0.4463656661
bRprQGR1,2024-01-03,HARD,l84wBUxE,2.080772988,0.2805088953,1.925257671,0.1183901911,-0.6115403057,2.426335744,0.2737710073,2.285005332,0.1055155552,-0.5594577867
4Ah7Ofc0,2024-01-05,HARD,UiaMC9xj,2.009530685,0.3224196965,1.595304637,0.1462155646,-1.441490817,1.818251101,0.3230035959,1.384059189,0.1401698513,-1.492044324
EwBUS9ln,2024-01-05,HARD,n5XviZ0t,1.680383583,0.2730816002,1.391423845,0.1348522023,-1.216864665,1.773246536,0.2664996084,1.518310428,0.1256850674,-1.084831509
OAaJLhsJ,2024-01-05,HARD,dGQFd6qm,-0.882610496,0.7825225624,-0.6561788185,0.2938240811,0.3122055426,-0.9110720369,0.7706956074,-0.684565063,0.2531106328,0.311158638
OAaJLhsJ,2024-01-05,HARD,WrhNf3At,1.881438104,0.224639061,1.876516,0.1248577728,-0.0263575233,1.971821794,0.2130116971,1.938056651,0.1131807593,-0.1871108878
QPtGMYRC,2024-01-05,HARD,vo9FVe2A,1.680102915,0.2270808308,1.784095662,0.1265278601,0.5514982408,1.73479981,0.2180747597,1.823450388,0.1170213561,0.4817496426
dpkaQGSm,2024-01-05,HARD,OKBlwX8r,1.670789426,0.2761391226,1.704137403,0.1238131031,0.1351071632,1.672532736,0.2702517758,1.670896846,0.1127841913,-0.006660988032
dpkaQGSm,2024-01-05,HARD,61UNAx1e,-0.2887118333,0.3481618346,-0.3747240729,0.2419654858,-0.34358374,-0.2923248175,0.3143126429,-0.3790716371,0.1894897122,-0.3459204817
r1iBNEC6,2024-01-05,HARD,028BdVOj,2.154730272,0.2308416817,2.196631333,0.1279205671,0.2180566861,2.137126161,0.2048613515,2.202656449,0.1155350342,0.3873544553
rw9OWIkK,2024-01-05,HARD,W6pL8zuB,2.061254575,0.2225856155,2.133007732,0.1094533764,0.370214377,1.941930775,0.216718454,2.065085992,0.1016228124,0.6433938524
rw9OWIkK,2024-01-05,HARD,pWwx5ylk,-2.207391621e-15,0.8442081452,0.505002138,0.224031619,0.6204419937,-2.207391621e-15,0.8579964273,0.4424794166,0.2194503919,0.5334565412
x08SVx5Q,2024-01-05,HARD,U5Ot7i32,1.940483281,0.2855479775,1.765701704,0.1439479151,-0.7087358871,1.869710471,0.2752368676,1.774171285,0.1266406771,-0.3909586522
x08SVx5Q,2024-01-05,HARD,rysUUciD,2.287437912,0.2738894731,2.149182843,0.1266492746,-0.5693057883,2.210189864,0.2684013841,2.104262381,0.1191781381,-0.4404635756
zmCQTkZu,2024-01-05,HARD,fgVB4gm1,0.1022282938,0.3362532379,0.0462554478,0.2360008537,-0.2336875534,0.08474779505,0.3006490355,0.02821218794,0.1815754851,-0.2359335833
zmCQTkZu,2024-01-05,HARD,x0QCtJlk,2.066043743,0.3070821201,1.988865144,0.1212520591,-0.2735568146,2.175782377,0.3051853268,2.061136852,0.114889496,-0.4054890628
fmaLuw5G,2024-01-06,HARD,KQ3uLtiT,1.804969201,0.2994934473,1.746425777,0.1499213926,-0.2258027266,1.812808226,0.2806963923,1.785897907,0.1232410516,-0.1067045877
j3Mftzxo,2024-01-06,HARD,xEP5jAtb,-1.308359934,1.176899904,-0.5175850668,0.2678186949,0.6900171511,-1.340322781,1.168649904,-0.5294502105,0.2349669166,0.7083185333
jaAFVbtG,2024-01-06,HARD,dhZYs1S7,0.2308171687,0.340632806,0.4143759185,0.218200966,0.7017567213,0.1676382846,0.3315662125,0.3640451041,0.1912799001,0.7252069735
IHdLGWc7,2024-01-07,HARD,84GyAaXB,2.076743935,0.2984581402,1.892265188,0.1183112997,-0.6732635179,1.947303424,0.2948674624,1.809974148,0.1097308881,-0.5017703136
fyJsA5dr,2024-01-07,HARD,YsJXLo1O,2.435098324,0.2405743662,2.006139602,0.1358855248,-2.160757107,2.515661981,0.2257863448,2.158268551,0.1246135274,-1.898159373
2Rg9JYDl,2024-01-08,HARD,OGYNaUZG,2.260223023,0.2897287417,1.90760461,0.118616904,-1.333985148,2.188114925,0.2852650996,1.812128287,0.1112423864,-1.431343096
APIoS4IQ,2024-01-08,HARD,QoLeDQFG,2.158737738,0.2327706328,2.032599645,0.1266142808,-0.6457930218,2.198403814,0.2261986101,2.031952545,0.1184685777,-0.8638110317
Wr3wPfjR,2024-01-08,HARD,KQGnhml2,2.133166467,0.2276447471,2.02308801,0.1265029043,-0.5816272139,2.074975059,0.2207598857,1.966176014,0.1164651252,-0.580141523
YRHo9PBl,2024-01-08,HARD,0QlxEb7i,2.099583323,0.3130732113,1.674424726,0.1505187849,-1.548758132,1.888307921,0.3080584959,1.46001492,0.1439300405,-1.57248071
YRHo9PBl,2024-01-08,HARD,fJjFPDOb,1.881668356,0.2358947745,1.790254564,0.1232506238,-0.4544878226,1.973739073,0.2201979799,1.855750917,0.1131058517,-0.6245101297
lOk5KEbr,2024-01-08,HARD,pA0aW3EL,2.257668984,0.3197471032,2.10666538,0.1288363011,-0.5160009017,2.249255093,0.3187710093,2.069932823,0.121497162,-0.6084723188
hh4ZPzyL,2024-01-09,HARD,xEGb8F4p,2.681820083,0.2799994624,2.428323406,0.1440826816,-1.055870698,2.530122618,0.2763044586,2.319262154,0.1398449788,-0.8848479476
2NZViuaT,2024-01-13,HARD,KjsokFUj,3.353623577,0.2873175886,3.424879162,0.1361390903,0.2816238309,3.321176716,0.2842973058,3.388250366,0.131892739,0.2663220393
8WtnTxrl,2024-01-13,HARD,8EI3pJOd,2.77202974,0.2751120176,2.941181138,0.134238969,0.7043908603,2.936284422,0.2690095823,3.081504566,0.127683091,0.6133212101
8WtnTxrl,2024-01-13,HARD,jVCKq0LH,1.831837182,0.4504692279,1.849676486,0.1785561265,0.04313489606,1.880843136,0.4697082175,1.961524004,0.1701112751,0.1842778501
MR2h9tU3,2024-01-13,HARD,KhTa5tH1,1.780409489,0.2406893248,1.831005968,0.1268983812,0.2473921712,1.667833848,0.2333059083,1.716039421,0.117643198,0.2392646278
S4sJfsFA,2024-01-13,HARD,boU2UKtN,1.840333534,0.2896914529,1.684331994,0.1322910716,-0.6053112741,1.963116267,0.284593019,1.829237256,0.1252500101,-0.5238865058
S4sJfsFA,2024-01-13,HARD,bstrYIDU,1.595616382,0.2410805557,1.654118414,0.1607878821,0.3256799681,1.698100132,0.2235522901,1.753772384,0.1484674832,0.3331039204
UVtXByDD,2024-01-13,HARD,2FcuNEdC,2.027374894,0.3104920103,1.742383565,0.1463887388,-1.040810338,1.975476635,0.30909462,1.695837242,0.1418611548,-1.018286017
UVtXByDD,2024-01-13,HARD,Em3nvKqP,1.506460147,0.3854553768,1.738191427,0.1409105834,0.6458944509,1.489388182,0.4317398099,1.881981785,0.1230885329,0.9487020968
WzapLujR,2024-01-13,HARD,046jJj30,2.328699912,0.2371772434,2.135820359,0.1333644592,-0.9834272192,2.276961463,0.2328725129,2.074666828,0.126437802,-1.034446133
YsrFeNa4,2024-01-13,HARD,S0E8uMT2,1.77501431,0.2344298353,1.713260347,0.152148504,-0.3462544958,1.806659519,0.2016909044,1.783767768,0.1148996298,-0.138099473
YsrFeNa4,2024-01-13,HARD,2FyACZYi,3.092875161,0.2840468632,3.062029056,0.1232689034,-0.1205373029,3.139391414,0.2802389192,3.12942317,0.1182104721,-0.03923164029
fmqbQzS6,2024-01-13,HARD,Uwhd6a1e,2.153922262,0.2963188049,1.77279677,0.1296188994,-1.430300459,2.287690201,0.2896037415,1.930549559,0.1199628901,-1.354914126
fmqbQzS6,2024-01-13,HARD,YuOTpKxj,1.529644576,0.3052569535,1.72708318,0.1891015154,0.8239318809,1.516510083,0.2906502589,1.827245558,0.1792322271,1.358058465
0jkGFJDl,2024-01-14,HARD,EDBO32wT,1.095032629,0.2668057572,1.118478983,0.1687215325,0.1134404796,1.091772722,0.259066103,1.182485452,0.1554887027,0.4377687497
6ipwHURs,2024-01-14,HARD,S6JNQ85M,2.43457008,0.2274265475,2.254899194,0.134098154,-0.9781418175,2.491337501,0.2226787814,2.312401009,0.1297148462,-0.9886160242
E13lAMEc,2024-01-14,HARD,Of1fjykI,0.9761032098,0.4455148587,1.313833906,0.1546298457,0.8083172984,0.937570276,0.4801221457,1.321562958,0.1394573884,0.8358162547
IZkOaTd7,2024-01-14,HARD,xSJxJs6E,2.246994694,0.2959256703,2.020158974,0.166040052,-0.9260320847,2.105860456,0.2926843182,1.871036476,0.1590864721,-0.955836567
SpcB2VCl,2024-01-14,HARD,OKXs3Wah,2.517446978,0.2240275415,2.690997629,0.120500231,0.9189389591,2.53162595,0.2195803356,2.662228472,0.11472443,0.6975636369
dQlSbmCD,2024-01-14,HARD,byP3Cue7,2.147434653,0.2916644698,1.582575416,0.1586795441,-2.30816489,2.086057824,0.280424936,1.615024698,0.1450254507,-1.962539845
jurTCHc7,2024-01-14,HARD,EgKYrSR5,3.635156068,0.3167108638,3.420521884,0.1460619199,-0.7637710357,3.696422693,0.3135009395,3.440906732,0.1411206378,-0.9127444364
lGZsGlsl,2024-01-14,HARD,AsWv5414,2.592523131,0.2973174987,2.525260016,0.1335472121,-0.2532147263,2.594993716,0.2943434398,2.520508763,0.1282410739,-0.2811407823
rFvLEwTf,2024-01-14,HARD,WSCEkk6I,1.007139329,0.4135954218,1.705909345,0.1542325572,1.820840775,1.005168017,0.4662394902,1.838421332,0.1497584742,1.887181104
tAAkUISs,2024-01-14,HARD,WEvLWEdN,1.758272168,0.3243334337,1.979454413,0.1394941202,0.7553962358,1.751112415,0.3207853164,1.982893239,0.1250715193,0.7846375128
tAAkUISs,2024-01-14,HARD,UqnOkX4F,1.297676607,0.3090882753,1.24409257,0.1368687936,-0.1933515977,1.196853032,0.3068760691,1.114861127,0.1261658113,-0.2930991963
tpufRGC0,2024-01-14,HARD,WfnqI5WD,1.41675808,0.3655441683,1.767365288,0.1806985437,1.103375727,1.302772314,0.3672974694,1.68118842,0.182917521,1.18808239
vqk6cqVi,2024-01-14,HARD,ETkoNgxJ,2.228091632,0.2829270001,2.306542948,0.1306033799,0.3125812308,2.190802684,0.2784026561,2.294241731,0.1247768279,0.4156264524
xCY2PfsD,2024-01-14,HARD,OlQsiYlU,2.14605327,0.3342552167,2.093509616,0.1978623324,-0.1950386238,2.213675254,0.3005291333,2.1594653,0.1292404916,-0.1998006488
zB4pB2ai,2024-01-14,HARD,noaX0EJn,2.369650066,0.2729711338,2.586140964,0.1179617424,0.879446731,2.39699862,0.2679830083,2.551258362,0.1112798884,0.6327666768
